Трек,№,Старт,Конец,Длительность,Блок,Статус,Медиа,Название
Видео,60,354.351,360.396,6.05,B03,missing,missing,document text
Видео,61,360.396,366.441,6.04,B03,missing,missing,map route
Видео,62,366.441,372.486,6.05,B03,missing,missing,ship trapped
Видео,63,372.486,378.531,6.05,B03,missing,missing,document note map
Видео,64,378.531,384.576,6.05,B03,missing,missing,document text
Видео,65,384.576,390.621,6.04,B03,missing,missing,map route
Видео,66,390.621,396.666,6.05,B03,missing,missing,ship trapped
Видео,67,396.666,402.711,6.05,B03,missing,missing,document note map
Видео,68,402.711,408.756,6.04,B03,missing,missing,document text
Видео,69,408.756,414.353,5.6,B03,missing,missing,people snow trail
Видео,70,414.353,419.95,5.6,B03,missing,missing,footprints snow
Видео,71,419.95,425.548,5.6,B03,missing,missing,white horizon
Видео,72,425.548,431.145,5.6,B03,missing,missing,sled silhouette
Видео,73,431.145,436.742,5.6,B03,missing,missing,people snow trail
Видео,74,436.742,442.339,5.6,B03,missing,missing,footprints snow
Видео,75,442.339,447.937,5.6,B03,missing,missing,white horizon
Видео,76,447.937,453.534,5.6,B03,missing,missing,sled silhouette
Видео,77,453.534,459.131,5.6,B03,missing,missing,people snow trail
Видео,78,459.131,465.048,5.92,B04,missing,missing,boat sled ice
Видео,79,465.048,470.965,5.92,B04,missing,missing,arctic coast
Видео,80,470.965,476.882,5.92,B04,missing,missing,wood runners
Видео,81,476.882,482.799,5.92,B04,missing,missing,boat interior
Видео,82,482.799,488.716,5.92,B04,missing,missing,boat sled ice
Видео,83,488.716,494.633,5.92,B04,missing,missing,arctic coast
Видео,84,494.633,500.55,5.92,B04,missing,missing,wood runners
Видео,85,500.55,506.467,5.92,B04,missing,missing,boat interior
Видео,86,506.467,512.384,5.92,B04,missing,missing,boat sled ice
Видео,87,512.384,517.981,5.6,B04,missing,missing,silver spoon
Видео,88,517.981,523.578,5.6,B04,missing,missing,object close
Видео,89,523.578,529.176,5.6,B04,missing,missing,book archive
Видео,90,529.176,534.773,5.6,B04,missing,missing,rifle detail
Видео,91,534.773,540.37,5.6,B04,missing,missing,silver spoon
Видео,92,540.37,545.967,5.6,B04,missing,missing,object close
Видео,93,545.967,551.565,5.6,B04,missing,missing,book archive
Видео,94,551.565,557.162,5.6,B04,missing,missing,rifle detail
Видео,95,557.162,562.759,5.6,B04,missing,missing,silver spoon
Видео,96,562.759,568.372,5.61,B04,missing,missing,bones archive lab
Видео,97,568.372,573.985,5.61,B04,missing,missing,bone close
Видео,98,573.985,579.599,5.61,B04,missing,missing,lab table
Видео,99,579.599,585.212,5.61,B04,missing,missing,archive folder
Видео,100,585.212,590.825,5.61,B04,missing,missing,bones archive lab
Видео,101,590.825,596.438,5.61,B04,missing,missing,bone close
Видео,102,596.438,602.051,5.61,B04,missing,missing,lab table
Видео,103,602.051,607.665,5.61,B04,missing,missing,archive folder
Видео,104,607.665,613.278,5.61,B04,missing,missing,bones archive lab
Видео,105,613.278,618.891,5.61,B04,missing,missing,bone close
Видео,106,618.891,624.792,5.9,B05,missing,missing,lab archive
Видео,107,624.792,630.693,5.9,B05,missing,missing,beechy camp
Видео,108,630.693,636.594,5.9,B05,missing,missing,forensic dig
Видео,109,636.594,642.495,5.9,B05,missing,missing,wood coffin
Видео,110,642.495,648.396,5.9,B05,missing,missing,lab archive
Видео,111,648.396,654.297,5.9,B05,missing,missing,beechy camp
Видео,112,654.297,660.198,5.9,B05,missing,missing,forensic dig
Видео,113,660.198,666.099,5.9,B05,missing,missing,wood coffin
Видео,114,666.099,672.0,5.9,B05,missing,missing,lab archive
Видео,115,672.0,677.901,5.9,B05,missing,missing,beechy camp
Видео,116,677.901,683.498,5.6,B05,missing,missing,archive portrait
Видео,117,683.498,689.095,5.6,B05,missing,missing,medical notes
Видео,118,689.095,694.693,5.6,B05,missing,missing,clothing detail
Видео,119,694.693,700.29,5.6,B05,missing,missing,lab hands
Видео,120,700.29,705.887,5.6,B05,missing,missing,archive portrait
Видео,121,705.887,711.484,5.6,B05,missing,missing,medical notes
Видео,122,711.484,717.082,5.6,B05,missing,missing,clothing detail
Видео,123,717.082,722.679,5.6,B05,missing,missing,lab hands
Видео,124,722.679,728.276,5.6,B05,missing,missing,archive portrait
Видео,125,728.276,733.889,5.61,B05,missing,missing,lead can archive
Видео,126,733.889,739.502,5.61,B05,missing,missing,lab analysis
Видео,127,739.502,745.116,5.61,B05,missing,missing,newspaper archive
Видео,128,745.116,750.729,5.61,B05,missing,missing,medical record
Видео,129,750.729,756.342,5.61,B05,missing,missing,lead can archive
Видео,130,756.342,761.955,5.61,B05,missing,missing,lab analysis
Видео,131,761.955,767.568,5.61,B05,missing,missing,newspaper archive
Видео,132,767.568,773.182,5.61,B05,missing,missing,medical record
Видео,133,773.182,778.795,5.61,B05,missing,missing,lead can archive
Видео,134,778.795,784.408,5.61,B05,missing,missing,lab analysis
Видео,135,784.408,790.021,5.61,B06,missing,missing,sonar screen
Видео,136,790.021,795.634,5.61,B06,missing,missing,research vessel
Видео,137,795.634,801.248,5.61,B06,missing,missing,satellite map
Видео,138,801.248,806.861,5.61,B06,missing,missing,underwater robot
Видео,139,806.861,812.474,5.61,B06,missing,missing,sonar screen
Видео,140,812.474,818.087,5.61,B06,missing,missing,research vessel
Видео,141,818.087,823.7,5.61,B06,missing,missing,satellite map
Видео,142,823.7,829.314,5.61,B06,missing,missing,underwater robot
Видео,143,829.314,834.927,5.61,B06,missing,missing,sonar screen
Видео,144,834.927,840.54,5.61,B06,missing,missing,research vessel
Видео,145,840.54,846.166,5.63,B06,missing,missing,underwater ship
Видео,146,846.166,851.793,5.63,B06,missing,missing,shipwreck hull
Видео,147,851.793,857.419,5.63,B06,missing,missing,closed hatch
Видео,148,857.419,863.045,5.63,B06,missing,missing,interior cabin
Видео,149,863.045,868.671,5.63,B06,missing,missing,underwater ship
Видео,150,868.671,874.298,5.63,B06,missing,missing,shipwreck hull
Видео,151,874.298,879.924,5.63,B06,missing,missing,closed hatch
Видео,152,879.924,885.55,5.63,B06,missing,missing,interior cabin
Видео,153,885.55,891.176,5.63,B06,missing,missing,underwater ship
Видео,154,891.176,896.803,5.63,B06,missing,missing,shipwreck hull
Видео,155,896.803,902.429,5.63,B06,missing,missing,closed hatch
Видео,156,902.429,908.186,5.76,B06,missing,missing,ice wide finale
Видео,157,908.186,913.943,5.76,B06,missing,missing,empty horizon
Видео,158,913.943,919.7,5.76,B06,missing,missing,ship memory
Видео,159,919.7,925.457,5.76,B06,missing,missing,atlas logo
Видео,160,925.457,931.214,5.76,B06,missing,missing,ice wide finale
Видео,161,931.214,936.972,5.76,B06,missing,missing,empty horizon
Видео,162,936.972,942.729,5.76,B06,missing,missing,ship memory
Видео,163,942.729,948.486,5.76,B06,missing,missing,atlas logo
Видео,164,948.486,954.243,5.76,B06,missing,missing,ice wide finale
Видео,165,954.243,960.0,5.76,B06,missing,missing,empty horizon
